comparison	predictor_family	predictor_context	ngram_context	context_limited_context	layer	fold	n_train	n_test	ll_m0_mean	ll_predictor_mean	ll_layer_mean	ll_joint_mean	delta_predictor_given_layer_mean	delta_layer_given_predictor_mean	delta_n_given_l_mean	delta_l_given_n_mean	delta_c_given_l_mean	delta_l_given_c_mean	ll_m0_sum	ll_predictor_sum	ll_layer_sum	ll_joint_sum	delta_predictor_given_layer_sum	delta_layer_given_predictor_sum	delta_n_given_l_sum	delta_l_given_n_sum	delta_c_given_l_sum	delta_l_given_c_sum
ngram_vs_internal_layer	ngram	0	0	NA	2	1	408	46	-4.48649557711874	-4.4739699965859	-4.60976130441744	-4.56654820837049	0.0432130960469568	-0.0925782117845912	0.0432130960469568	-0.0925782117845912	NA	NA	-206.378796547462	-205.802619842951	-212.049020003202	-210.061217585042	1.98780241815999	-4.25859774209118	1.98780241815999	-4.25859774209118	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	2	409	45	-4.55227129162572	-4.49023150938962	-4.48114871338636	-4.45547733830084	0.0256713750855218	0.0347541710887773	0.0256713750855218	0.0347541710887773	NA	NA	-204.852208123157	-202.060417922533	-201.651692102386	-200.496480223538	1.15521187884852	1.56393769899498	1.15521187884852	1.56393769899498	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	3	409	45	-4.83691345434996	-4.72583133026769	-4.79882772633739	-4.74153072517006	0.0572970011673331	-0.0156993949023674	0.0572970011673331	-0.0156993949023674	NA	NA	-217.661105445748	-212.662409862046	-215.947247685182	-213.368882632652	2.57836505252999	-0.706472770606496	2.57836505252999	-0.706472770606496	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	4	408	46	-4.84394400575021	-4.89578396764768	-4.84006001916468	-4.88070824310048	-0.0406482239357944	0.0150757245472022	-0.0406482239357944	0.0150757245472022	NA	NA	-222.82142426451	-225.206062511793	-222.642760881575	-224.512579182622	-1.86981830104656	0.693483329171301	-1.86981830104656	0.693483329171301	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	5	409	45	-4.44826430396403	-4.41101620290392	-4.41708646359543	-4.40336518253989	0.0137212810555347	0.00765102036403054	0.0137212810555347	0.00765102036403054	NA	NA	-200.171893678381	-198.495729130677	-198.768890861794	-198.151433214295	0.617457647499094	0.344295916381412	0.617457647499094	0.344295916381412	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	6	409	45	-4.63368851310806	-4.56754334762109	-4.59649434493655	-4.56885264241662	0.0276417025199249	-0.00130929479553465	0.0276417025199249	-0.00130929479553465	NA	NA	-208.515983089863	-205.539450642949	-206.842245522145	-205.598368908748	1.24387661339662	-0.0589182657990648	1.24387661339662	-0.0589182657990648	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	7	408	46	-4.99254488935761	-5.03580322406541	-4.92539482950754	-5.02345725476198	-0.0980624252544393	0.0123459693034276	-0.0980624252544393	0.0123459693034276	NA	NA	-229.65706491045	-231.646948307009	-226.568162157347	-231.079033719051	-4.51087156170422	0.567914587957688	-4.51087156170422	0.567914587957688	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	8	409	45	-4.50404071539604	-4.49563359315298	-4.43399239610958	-4.4521616018095	-0.0181692056999214	0.0434719913434805	-0.0181692056999214	0.0434719913434805	NA	NA	-202.681832192822	-202.303511691884	-199.529657824931	-200.347272081428	-0.817614256496455	1.95623961045661	-0.817614256496455	1.95623961045661	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	9	409	45	-4.58087065183731	-4.4871587000908	-4.5323573815859	-4.50655070210151	0.025806679484389	-0.0193920020107088	0.025806679484389	-0.0193920020107088	NA	NA	-206.139179332679	-201.922141504086	-203.956082171366	-202.794781594568	1.16130057679749	-0.872640090481866	1.16130057679749	-0.872640090481866	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	2	10	408	46	-4.76365841592551	-4.79601619546453	-4.73180691619642	-4.75818723444355	-0.0263803182471287	0.0378289610209768	-0.0263803182471287	0.0378289610209768	NA	NA	-219.128287132574	-220.616744991368	-217.663118145035	-218.876612784403	-1.21349463936789	1.74013220696494	-1.21349463936789	1.74013220696494	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	1	408	46	-4.48649557711874	-4.4739699965859	-4.60865871017769	-4.56441294863036	0.0442457615473346	-0.0904429520444605	0.0442457615473346	-0.0904429520444605	NA	NA	-206.378796547462	-205.802619842951	-211.998300668174	-209.962995636996	2.03530503117739	-4.16037579404517	2.03530503117739	-4.16037579404517	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	2	409	45	-4.55227129162572	-4.49023150938962	-4.48823283849737	-4.45404906211625	0.0341837763811226	0.0361824472733669	0.0341837763811226	0.0361824472733669	NA	NA	-204.852208123157	-202.060417922533	-201.970477732382	-200.432207795231	1.53826993715055	1.62821012730151	1.53826993715055	1.62821012730151	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	3	409	45	-4.83691345434996	-4.72583133026769	-4.79615057846598	-4.73860311863259	0.0575474598333976	-0.0127717883648986	0.0575474598333976	-0.0127717883648986	NA	NA	-217.661105445748	-212.662409862046	-215.826776030969	-213.237140338466	2.5896356925029	-0.574730476420399	2.5896356925029	-0.574730476420399	NA	NA
ngram_vs_internal_layer	ngram	0	0	NA	3	4	408	46	-4.84394400575021	-4.89578396764768	-4.78714216828673	-4.84474084386	-0.0575986755732707	0.0510431237876796	-0.0575986755732707	0.0510431237876796	NA	NA	-222.82142426451	-225.206062511793	-220.208539741189	-222.85807881756	-2.64953907637044	2.34798369423325	-2.64953907637044	2.34798369423325	NA	NA
